어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
싱글벙글어린이집,경기도,수원시,가정,19,4,"경기도 수원시 장안구 장안로 211 211동 107호(정자동, 동신2단지아파트)",031-241-3288,,,,1,N,http://www.,2018-07-31
아가페어린이집,경기도,수원시,가정,18,4,"경기도 수원시 장안구 장안로 211 204동 104호(정자동, 동신아파트)",031-246-8857,,,,1,N,http://www.,2018-07-31
아기별어린이집,경기도,수원시,가정,19,4,"경기도 수원시 장안구 정조로1060번길 5 101동 102호(송죽동,동진맨션아파트)",031-242-3246,,,,1,Y,http://www.,2018-07-31
아따맘마어린이집,경기도,수원시,가정,20,6,"경기도 수원시 장안구 화산로 85 124동 103호(천천동, 천천아파트)",031-308-9353,,,,1,N,http://www.,2018-07-31
아랑어린이집,경기도,수원시,민간,69,13,경기도 수원시 장안구 파장천로55번길 9 (파장동),031-269-1188,,,1,1,Y,http://www.,2018-07-31
아롱새미 어린이집,경기도,수원시,가정,19,6,"경기도 수원시 장안구 정자로19번길 18 501동 101호(천천동, 일성아파트)",031-269-0830,,,,1,N,http://www.,2018-07-31
은초롱어린이집,경기도,수원시,가정,20,6,"경기도 수원시 영통구 태장로71번길 15 201동 103호 (망포동, 동수원엘지빌리지2단지아파트)",031-273-3338,,,,1,N,http://www.,2018-07-31
키즈꿈터어린이집,경기도,수원시,민간,137,18,경기도 수원시 권선구 수인로135번길 38 (서둔동),031-295-4560,,,1,1,Y,http://www.,2018-07-31
키즈빌어린이집,경기도,수원시,민간,49,9,경기도 수원시 권선구 구운로47번길 16-13 (구운동),031-291-1136,,,,1,Y,http://www.,2018-07-31
킹어린이집,경기도,수원시,민간,21,4,경기도 수원시 권선구 세권로138번길 21 (세류동),070-4226-7000,,,,1,Y,http://www.,2018-07-31
탑아이들세상어린이집,경기도,수원시,민간,93,13,경기도 수원시 권선구 서둔로239번길 16-8 (탑동),031-278-6868,,,,1,Y,http://www.,2018-07-31
은희어린이집,경기도,수원시,민간,30,7,"경기도 수원시 영통구 영통로200번길 20 관리동 (망포동, 망포마을 현대1차 아이파크)",031-205-8254,,,,1,N,http://www.,2018-07-31
이든어린이집,경기도,수원시,민간,24,6,"경기도 수원시 영통구 매영로 132 관리동 (매탄동, 수원 원천1단지 주공아파트)",031-214-2150,,,,1,N,http://www.,2018-07-31
이레어린이집,경기도,수원시,가정,16,6,"경기도 수원시 영통구 영통로290번길 26 835동 101호 (영통동, 벽적골주공 휴먼시아8단지)",031-205-1863,,,1,1,N,http://www.,2018-07-31
이야기숲어린이집,경기도,수원시,가정,16,5,"경기도 수원시 영통구 봉영로1517번길 27 905동 104호 (영통동, 벽적골9단지 주공아파트)",031-273-4568,,,,1,N,http://www.,2018-07-31
이편한뜰어린이집,경기도,수원시,민간,40,8,"경기도 수원시 영통구 봉영로 1410-17 관리동(망포동, 이편한세상 영통2차 1단지)",031-205-2132,,,,1,N,http://www.,2018-07-31
자연어린이집,경기도,수원시,가정,17,5,"경기도 수원시 영통구 인계로 165 518동 102호 (매탄동, 주공5단지아파트)",070-7715-3847,,,,1,N,http://www.,2018-07-31
자연에듀어린이집,경기도,수원시,민간,73,10,"경기도 수원시 영통구 에듀타운로 65 관리동 (이의동, 자연앤자이)",031-212-5230,,,,1,N,http://www.,2018-07-31
자올힐스테이트어린이집,경기도,수원시,민간,99,13,"경기도 수원시 영통구 도청로 65 관리동 (이의동, 자연앤힐스테이트)",031-212-4131,,,,1,N,http://www.,2018-07-31
자이어린이집,경기도,수원시,민간,24,5,"경기도 수원시 영통구 태장로82번길 33 관리동 (망포동, 엘지동수원자이아파트)",031-309-0135,,,,1,N,http://www.,2018-07-31
재미나라어린이집,경기도,수원시,가정,20,7,"경기도 수원시 영통구 인계로 219 7동 108호 (매탄동, 삼성1차아파트)",031-305-2453,,,,1,N,http://www.,2018-07-31
종이나라어린이집,경기도,수원시,가정,16,5,"경기도 수원시 영통구 영통로 232 821동 104호 (영통동, 두산.우성.한신아파트)",031-202-2303,,,,1,N,http://www.,2018-07-31
좋은나무어린이집,경기도,수원시,가정,20,6,"경기도 수원시 영통구 효원로 363 111동 101호 (매탄동, 매탄위브하늘채아파트)",031-213-7110,,,,1,N,http://www.,2018-07-31
좋은친구어린이집,경기도,수원시,가정,16,4,"경기도 수원시 영통구 매영로310번길 12 521동 101호 (영통동, 신성.신안.쌍용.진흥아파트)",031-206-5233,,,,1,N,http://www.,2018-07-31
중앙아이뜰어린이집,경기도,수원시,가정,19,6,"경기도 수원시 영통구 영통로154번길 51-16 302동 101호 (망포동, 센트럴하이츠아파트)",031-8013-9665,,,,1,N,http://www.,2018-07-31
자이어린이집,경기도,수원시,가정,20,6,"경기도 수원시 권선구 권광로 55 104동 103호(권선2동, 권선자이E이편한세상아파트)",031-226-7898,,,,1,N,http://www.,2018-07-31
자이하나생태어린이집,경기도,수원시,가정,19,5,"경기도 수원시 권선구 입북로 50 112동 104호(입북동, 서수원자이아파트)",031-296-1385,,,,1,N,http://www.,2018-07-31
잼잼사임당어린이집,경기도,수원시,가정,19,7,"경기도 수원시 권선구 수성로 47 7동 101호(구운동, 삼환아파트)",031-227-7101,,,,1,Y,http://www.,2018-07-31
정다운어린이집,경기도,수원시,가정,20,6,"경기도 수원시 권선구 덕영대로1190번길 100 702동 103호 (권선동, 아이파크시티7단지)",031-306-7776,,,,1,N,http://www.,2018-07-31
조아어린이집,경기도,수원시,가정,20,7,"경기도 수원시 권선구 금곡로 46 525동102호 (금곡동, 수원호매실 휴먼시아5단지아파트)",031-506-2012,,,,1,N,http://www.,2018-07-31
쥬얼리어린이집,경기도,수원시,가정,20,6,"경기도 수원시 권선구 세지로 99 102동 103호(세류동, 삼익아파트)",031-237-7973,,,,1,Y,http://www.,2018-07-31
지혜샘어린이집,경기도,수원시,민간,92,12,경기도 수원시 권선구 구운로63번길 29-13 (구운동),031-294-0098,,,,1,Y,http://www.,2018-07-31
참사랑어린이집,경기도,수원시,가정,19,6,"경기도 수원시 권선구 경수대로302번길 22 105동 101호(권선동, 한양아파트)",031-891-1279,,,,1,N,http://www.,2018-07-31
은하수어린이집,경기도,수원시,가정,17,8,"경기도 수원시 장안구 대평로51번길 56 255동 103호(정자동, 꽃뫼노을마을한국아파트)",031-257-9820,,,,1,Y,http://www.,2018-07-31
이화어린이집,경기도,수원시,민간,48,8,경기도 수원시 장안구 대평로51번길 56 한국아파트 관리동1층,031-268-2620,,,,1,N,http://www.,2018-07-31
으뜸아이어린이집,경기도,수원시,민간,59,10,"경기도 수원시 권선구 동수원로145번길 24 관리동 (권선동, 수원아이파크시티2단지)",031-223-6305,,,,1,N,http://www.,2018-07-31
은초롱어린이집,경기도,수원시,가정,19,6,"경기도 수원시 권선구 서수원로 219 101동 105호(오목천동, 오목천동대우푸르지오1단지아파트)",031-297-0071,,,,1,Y,http://www.,2018-07-31
자이누리어린이집,경기도,수원시,가정,20,9,"경기도 수원시 권선구 권광로 55 120동 101호(권선동, 권선자이E편한세상아파트)",031-233-2101,,,,1,N,http://www.,2018-07-31
칠보산어린이집,경기도,수원시,협동,19,6,"경기도 수원시 권선구 금곡로73번길 71 408동104호(금곡동, 금곡엘지빌리지)",031-890-7533,,,,0,N,http://www.,2018-07-31
재미나라어린이집,경기도,수원시,가정,19,8,"경기도 수원시 장안구 상률로 32 105동 102호(율전동, 밤꽃마을뜨란채아파트)",031-302-4900,,,,1,Y,http://www.,2018-07-31
정자샛별어린이집,경기도,수원시,가정,20,5,"경기도 수원시 장안구 이목로 24 101-103(정자동, SK스카이뷰아파트)",031-271-2339,,,,1,N,http://www.,2018-07-31
조원임광사임당어린이집,경기도,수원시,민간,42,7,경기도 수원시 장안구 수일로 205 관리동,031-247-2468,,,,1,Y,http://www.,2018-07-31
조은맘어린이집,경기도,수원시,가정,17,3,경기도 수원시 장안구 장안로 232 동신아파트 111동 107호,031-253-0822,,,,1,N,http://www.,2018-07-31
종달새어린이집,경기도,수원시,가정,18,4,경기도 수원시 장안구 이목로 24 SK스카이뷰아파트 103-101,031-309-7973,,,,1,N,http://www.,2018-07-31
지혜샘터어린이집,경기도,수원시,가정,16,3,"경기도 수원시 장안구 정자천로188번길 64 334동 102호(정자동, 두견마을아파트)",031-269-0398,,,,1,N,http://www.,2018-07-31
참좋은나무어린이집,경기도,수원시,가정,20,6,경기도 수원시 장안구 수성로402번길 45-2 벽산아파트 101동 101호,031-255-0050,,,,1,Y,http://www.,2018-07-31
크레파스어린이집,경기도,수원시,민간,49,8,경기도 수원시 권선구 칠보로183번길 45 (호매실동),031-296-2588,,,,1,Y,http://www.,2018-07-31
초록아이뜰어린이집,경기도,수원시,민간,35,1,경기도 수원시 권선구 여기산로16번길 30 (서둔동),031-293-9724,,,,1,N,http://www.,2018-07-31
큰사랑어린이집,경기도,수원시,가정,15,5,"경기도 수원시 권선구 권중로 136 504동 102호(권선동, 신동아대원아파트)",031-297-9336,,,,1,N,http://www.,2018-07-31
천천도만스쿨어린이집,경기도,수원시,민간,22,5,경기도 수원시 장안구 정자로41번길 12 신명아파트 관리동내1층 (천천동),031-268-8418,,,,1,N,http://www.,2018-07-31
초록별어린이집,경기도,수원시,민간,49,7,경기도 수원시 권선구 세지로140번길 11 (권선동),031-222-1094,,,,1,Y,http://www.,2018-07-31
친구어린이집,경기도,수원시,가정,20,7,"경기도 수원시 권선구 금곡로 45 206동 103호(금곡동, 금곡엘지빌리지)",031-227-8665,,,,1,N,http://www.,2018-07-31
코코잼잼어린이집,경기도,수원시,가정,20,6,"경기도 수원시 권선구 곡선로 10 505동 102호 (권선동, 수원아이파크시티5단지)",031-222-1234,,,,1,N,http://www.,2018-07-31
잼잼어린이집,경기도,수원시,가정,20,4,경기도 수원시 장안구 이목로 24 SK스카이뷰아파트 102-102,031-269-9677,,,,1,N,http://www.,2018-07-31
조원어린이집,경기도,수원시,민간,63,9,경기도 수원시 장안구 조원로 80 (조원동),031-269-0671,,,1,1,Y,http://www.,2018-07-31
조원키즈어린이집,경기도,수원시,가정,20,7,"경기도 수원시 장안구 금당로39번길 33 109동 103호(조원동, 주공뉴타운1차아파트)",031-257-2233,,,,1,Y,http://www.,2018-07-31
조이도만스쿨어린이집,경기도,수원시,가정,19,6,경기도 수원시 장안구 이목로 24 SK스카이뷰아파트 124-101,031-268-1310,,,,1,N,http://www.,2018-07-31
좋은나무어린이집,경기도,수원시,민간,36,5,경기도 수원시 장안구 만석로68번길 10,031-258-4909,,,,1,Y,http://www.,2018-07-31
지혜숲어린이집,경기도,수원시,민간,143,18,경기도 수원시 장안구 연무로13번길 78,031-244-7949,,,,1,Y,http://www.,2018-07-31
참빛어린이집,경기도,수원시,민간,49,7,경기도 수원시 장안구 파장천로26번길 49 (파장동),031-245-7496,,,,1,Y,http://www.,2018-07-31
참포도나무 어린이집,경기도,수원시,민간,68,9,경기도 수원시 장안구 파장천로25번길 22 (파장동),031-247-2290,,,,1,Y,http://www.,2018-07-31
자연키즈어린이집,경기도,수원시,민간,42,6,"경기도 수원시 영통구 웰빙타운로 70 관리동 (이의동, 호반베르디움)",031-211-0415,,,,1,N,http://www.,2018-07-31
즐거운예원어린이집,경기도,수원시,민간,181,23,경기도 수원시 영통구 매원로12번길 15 (매탄동),031-214-1004,,,,1,Y,http://www.,2018-07-31
파란샘몬테소리어린이집,경기도,수원시,민간,31,6,경기도 수원시 장안구 하률로46번길 22 삼호진덕아파트 관리동 파란샘몬테소리어린이집,031-271-1812,,,,1,N,http://www.,2018-07-31
파랑새어린이집,경기도,수원시,민간,26,8,경기도 수원시 장안구 송정로187번길 58 파랑새어린이집 (조원동),031-252-9101,,,,1,Y,http://www.,2018-07-31
푸르지오어린이집,경기도,수원시,가정,19,6,"경기도 수원시 장안구 화산로 85 104동 103호(천천동, 천천아파트)",031-227-9980,,,,1,N,http://www.,2018-07-31
크로바어린이집,경기도,수원시,민간,62,7,경기도 수원시 권선구 고산로11번길 26 (고색동),031-295-0066,,,1,1,Y,http://www.,2018-07-31
큰나무아이들어린이집,경기도,수원시,민간,109,15,경기도 수원시 권선구 곡선로50번길 45-3 (곡반정동),031-267-1009,,,,1,Y,http://www.,2018-07-31
창훈대어린이집,경기도,수원시,민간,98,11,경기도 수원시 장안구 연무로 26 (연무동),031-257-5325,,,1,1,Y,http://www.,2018-07-31
천천래미안사임당어린이집,경기도,수원시,민간,28,5,경기도 수원시 장안구 화산로187번길 19 삼성래미안아파트 107동 1층 (천천동),031-298-3829,,,,1,Y,http://www.,2018-07-31
청솔어린이집,경기도,수원시,가정,17,5,경기도 수원시 장안구 만석로20번길 28 청솔마을 한라비발디 633동 101호,031-269-3101,,,,1,N,http://www.,2018-07-31
초록별어린이집,경기도,수원시,민간,49,8,경기도 수원시 장안구 수성로327번길 22 (정자동),031-255-1187,,,1,1,Y,http://www.,2018-07-31
초록어린이집,경기도,수원시,가정,20,4,"경기도 수원시 장안구 화산로 85 116동 101호(천천동, 천천푸르지오아파트)",031-268-6008,,,,1,N,http://www.,2018-07-31
친구어린이집,경기도,수원시,가정,19,6,"경기도 수원시 장안구 화산로187번길 19 103동 102호(천천동, 삼성래미안아파트)",031-227-4478,,,,1,N,http://www.,2018-07-31
토리어린이집,경기도,수원시,가정,19,3,"경기도 수원시 장안구 파장로6번길 20 101동 103호(송죽동,희성연인아파트)",031-241-1370,,,,1,N,http://www.,2018-07-31
파란꿈아트팜어린이집,경기도,수원시,민간,39,9,경기도 수원시 장안구 수일로233번길 84 1층,031-251-5666,,,,1,Y,http://www.,2018-07-31
키즈맘어린이집,경기도,수원시,가정,15,5,"경기도 수원시 권선구 매탄로 11 206동 102호(권선동, 현대아파트)",031-309-7170,,,,1,N,http://www.,2018-07-31
키즈솔어린이집,경기도,수원시,민간,32,6,경기도 수원시 권선구 경수대로302번길 32 성지아파트 관리동,031-8001-3031,,,,1,N,http://www.,2018-07-31
탑동사임당어린이집,경기도,수원시,가정,19,6,"경기도 수원시 권선구 효탑로 50 102동 103호(탑동, 우방)",031-294-5684,,,,1,N,http://www.,2018-07-31
태산어린이집,경기도,수원시,가정,18,6,"경기도 수원시 권선구 매송고색로691번길 9 203동 102호(고색동, 태산아파트)",031-291-2914,,,,1,N,http://www.,2018-07-31
토마토어린이집,경기도,수원시,가정,20,5,"경기도 수원시 권선구 세화로168번길 15 115동 102호(서둔동, 센트라우스아파트)",031-297-7338,,,,1,N,http://www.,2018-07-31
토토어린이집,경기도,수원시,가정,16,8,"경기도 수원시 권선구 호매실로165번길 70 1503동 104호 (호매실동, 수원호매실 휴먼시아15단지아파트)",031-890-2050,,,,1,N,http://www.,2018-07-31
통큰아이어린이집,경기도,수원시,민간,100,16,경기도 수원시 권선구 곡반정로19번길 41 (곡반정동),031-234-2299,,,,1,Y,http://www.,2018-07-31
파랑새어린이집,경기도,수원시,가정,19,7,"경기도 수원시 권선구 일월천로16번길 39 108동 104호(구운동, 코오롱하늘채아파트)",031-292-7155,,,,1,Y,http://www.,2018-07-31
평강어린이집,경기도,수원시,가정,19,4,"경기도 수원시 권선구 권선로694번길 25 204동 101호(권선동, 수원권선SKVIEW)",031-238-1208,,,,1,N,http://www.,2018-07-31
평안몬테소리어린이집,경기도,수원시,민간,70,7,경기도 수원시 권선구 세권로 298 평안교회내 1층 (권선동),031-221-8111,,,,1,Y,http://www.,2018-07-31
포도송이어린이집,경기도,수원시,가정,20,6,"경기도 수원시 권선구 동수원로58번길 21 103동 101호(곡반정동,한솔아파트)",031-306-1533,,,,1,N,http://www.,2018-07-31
푸른아이어린이집,경기도,수원시,가정,20,6,"경기도 수원시 권선구 동수원로145번길 23 407동 101호(권선동, 수원아이파크시티4단지)",031-226-1630,,,,1,N,http://www.,2018-07-31
하나린어린이집,경기도,수원시,가정,17,3,"경기도 수원시 권선구 당진로14번길 46 203동 105호(당수동, 삼정)",031-419-7787,,,,1,N,http://www.,2018-07-31
하늘만큼어린이집,경기도,수원시,민간,49,7,경기도 수원시 권선구 세지로56번길 19 (세류동),031-236-1002,,,,1,Y,http://www.,2018-07-31
하늘숲어린이집,경기도,수원시,가정,19,6,"경기도 수원시 권선구 금곡로 46 512동104호 (금곡동, 수원호매실 휴먼시아5단지아파트)",031-303-0234,,,,1,N,http://www.,2018-07-31
수원어린이집,경기도,수원시,법인·단체,150,25,경기도 수원시 권선구 곡반정로 82 (곡반정동),031-222-2748,,,1,1,Y,http://www.,2018-07-31
숲에노닐다어린이집,경기도,수원시,협동,19,4,"경기도 수원시 권선구 금곡로 45 208동 102호(금곡동,금곡엘지빌리지)",070-8114-7943,,,,0,N,http://www.,2018-07-31
슬기어린이집,경기도,수원시,민간,43,6,경기도 수원시 권선구 세지로28번길 7-11 (세류동),031-234-3456,,,,1,Y,http://www.,2018-07-31
동성어린이집,경기도,수원시,가정,19,6,"경기도 수원시 권선구 매곡로 100 103동 101호(금곡동, 동성아파트)",031-291-2320,,,,1,Y,http://www.,2018-07-31
동원어린이집,경기도,수원시,민간,30,5,경기도 수원시 권선구 세지로4번길 33-20 (세류동),031-236-4724,,,,1,Y,http://www.,2018-07-31
동화마을어린이집,경기도,수원시,가정,20,3,"경기도 수원시 권선구 동탄원천로813번길 16 323동 101호(권선동, 대우아파트)",031-223-3354,,,,1,N,http://www.,2018-07-31
두리어린이집,경기도,수원시,민간,31,5,"경기도 수원시 권선구 매송고색로673번길 11 아파트관리동 2층(고색동, 태산아파트)",031-296-7751,,,,1,Y,http://www.,2018-07-31
신나는몬테소리어린이집,경기도,수원시,민간,39,8,경기도 수원시 권선구 세지로140번길 41 (권선동),031-224-9322,,,,1,Y,http://www.,2018-07-31
아기둥지어린이집,경기도,수원시,가정,20,6,"경기도 수원시 권선구 서수원로 219 104동106호(오목천동, 대우푸르지오)",031-293-7752,,,,1,Y,http://www.,2018-07-31
아기숲어린이집,경기도,수원시,가정,20,6,경기도 수원시 권선구 금곡로 20 610동 102호,031-298-7249,,,,1,N,http://www.,2018-07-31
신애어린이집,경기도,수원시,민간,46,7,경기도 수원시 권선구 금곡로73번길 33 관리동1층 (금곡동  LG 빌리지),031-292-3473,,,,1,N,http://www.,2018-07-31
아롱아트어린이집,경기도,수원시,민간,48,7,경기도 수원시 권선구 새터로29번길 26 (세류동),031-238-1211,,,,1,Y,http://www.,2018-07-31
두견어린이집,경기도,수원시,민간,27,6,경기도 수원시 장안구 정자천로188번길 64 현대벽산아파트 관리동 (정자동),031-269-0013,,,,1,Y,http://www.,2018-07-31
한일초록별어린이집,경기도,수원시,가정,20,3,"경기도 수원시 장안구 경수대로976번길 22 150동 104호(조원동, 한일타운대림아파트)",031-258-4130,,,,1,N,http://www.,2018-07-31
한일타운동화나라어린이집,경기도,수원시,가정,20,6,경기도 수원시 장안구 경수대로976번길 22 한일타운 128동102호,031-258-1280,,,,1,N,http://www.,2018-07-31
한일타운숲속마을어린이집,경기도,수원시,가정,20,7,"경기도 수원시 장안구 경수대로976번길 22 133동 102호(조원동, 한일타운)",031-246-0898,,,,1,N,http://www.,2018-07-31
베이비초록나라어린이집,경기도,수원시,가정,16,6,"경기도 수원시 영통구 영통로290번길 25 516동 104호 (영통동, 신나무실주공아파트)",031-302-9211,,,,1,N,http://www.,2018-07-31
별초롱어린이집,경기도,수원시,민간,29,6,"경기도 수원시 영통구 청명북로 81 관리동 (영통동, 청명마을주공아파트)",031-202-0537,,,,1,N,http://www.,2018-07-31
보물섬어린이집,경기도,수원시,가정,16,4,"경기도 수원시 영통구 영통로 232 805동 105호 (영통동, 두산.우성.한신아파트)",031-202-2667,,,,1,N,http://www.,2018-07-31
브니엘어린이집,경기도,수원시,가정,16,1,"경기도 수원시 영통구 동수원로 316 3동 102호 (매탄동, 임광아파트)",031-231-9785,,,,1,N,http://www.,2018-07-31
둥지또또래어린이집,경기도,수원시,가정,19,6,"경기도 수원시 권선구 수성로 47 6동 108호(구운동, 삼환아파트)",031-292-6317,,,,1,N,http://www.,2018-07-31
블루밍어린이집,경기도,수원시,민간,53,8,"경기도 수원시 영통구 영통로90번길 4-27 관리동 (망포동, 늘푸른벽산아파트)",031-206-1783,,,,1,N,http://www.,2018-07-31
우만삼성어린이집,경기도,수원시,가정,13,1,"경기도 수원시 팔달구 아주로 17 101동 110호(우만동, 삼성아파트)",031-8001-6538,,,,1,N,http://www.,2018-07-31
월드어린이집,경기도,수원시,가정,20,6,"경기도 수원시 팔달구 권광로 373 113동 101호(우만동, 월드메르디앙)",031-217-9686,,,,1,N,http://www.,2018-07-31
은빛어린이집,경기도,수원시,민간,49,9,경기도 수원시 팔달구 동말로48번길 21 (화서동),031-548-2300,,,,1,Y,http://www.,2018-07-31
잎새어린이집,경기도,수원시,가정,16,3,"경기도 수원시 팔달구 덕영대로697번길 48 406동 106호(화서동,화서4단지주공아파트)",031-248-7179,,,,1,N,http://www.,2018-07-31
재크와콩나무어린이집,경기도,수원시,민간,48,11,경기도 수원시 팔달구 동말로106번길 34 (고등동),031-255-1347,,,,1,Y,http://www.,2018-07-31
베베어린이집,경기도,수원시,가정,10,4,"경기도 수원시 영통구 동탄원천로1109번길 42 102동 109호 (매탄동, 원천성일아파트)",031-213-4939,,,,1,N,http://www.,2018-07-31
남문어린이집,경기도,수원시,민간,49,11,경기도 수원시 팔달구 행궁로 30-1 (남창동),031-241-3441,,,,1,Y,http://www.,2018-07-31
늘사랑어린이집,경기도,수원시,가정,13,7,"경기도 수원시 팔달구 창룡대로 194 404동 101호(우만동, 주공4차아파트)",031-253-6786,,,,1,N,http://www.,2018-07-31
대자연어린이집,경기도,수원시,가정,19,4,"경기도 수원시 팔달구 화양로50번길 30 102동 101호(화서동, 블루밍푸른숲아파트)",031-253-6123,,,,1,Y,http://www.,2018-07-31
동그라미 어린이집,경기도,수원시,민간,65,9,"경기도 수원시 팔달구 화산로 57 (화서동, 꽃뫼버들마을진흥아파트 관리동)",031-227-3118,,,,1,Y,http://www.,2018-07-31
동화나라어린이집,경기도,수원시,가정,19,6,"경기도 수원시 팔달구 권광로317번길 15 307동 103호(인계동, 선경3단지아파트)",031-239-3008,,,,1,N,http://www.,2018-07-31
또래또어린이집,경기도,수원시,가정,13,4,"경기도 수원시 팔달구 중부대로 215 102동 101호(우만동, 선경아파트)",031-212-7833,,,,1,N,http://www.,2018-07-31
한일타운하늘정원어린이집,경기도,수원시,가정,19,6,"경기도 수원시 장안구 경수대로976번길 22 127동 101호(조원동, 한일타운)",031-269-8291,,,,1,N,http://www.,2018-07-31
힐스어린이집,경기도,수원시,가정,18,3,"경기도 수원시 영통구 덕영대로 1462-14 106동 103호(망포동,힐스테이트영통)",031-306-1006,,,,1,N,http://www.,2018-07-31
힐스행복어린이집,경기도,수원시,가정,20,5,"경기도 수원시 영통구 덕영대로 1462-14 115동 103호(망포동, 힐스테이트영통)",031-203-9930,,,,1,N,http://www.,2018-07-31
아이꿈 어린이집,경기도,수원시,민간,30,8,경기도 수원시 장안구 수성로245번길 21 영남우방한솔아파트 관리동1층,031-271-1232,,,,1,N,http://www.,2018-07-31
은하수어린이집,경기도,수원시,가정,13,6,"경기도 수원시 영통구 영통로290번길 25 502동 101호(영통동, 신나무실주공아파트)",031-206-3225,,,,1,N,http://www.,2018-07-31
운정어린이집,경기도,수원시,가정,20,5,"경기도 수원시 장안구 조원로 16 201동 103호(조원동, 벽산아파트)",031-252-3366,,,,1,N,http://www.,2018-07-31
웅지어린이집,경기도,수원시,민간,136,22,경기도 수원시 장안구 일월로90번길 26-1,031-294-0017,,,1,1,Y,http://www.,2018-07-31
유리나어린이집,경기도,수원시,가정,18,5,"경기도 수원시 장안구 이목로 24 122-102(정자동,SK스카이뷰아파트)",031-268-2913,,,,1,N,http://www.,2018-07-31
은빛어린이집,경기도,수원시,민간,32,9,경기도 수원시 장안구 창훈로39번길 53-1 (연무동),031-244-7944,,,,1,Y,http://www.,2018-07-31
은초롱어린이집,경기도,수원시,민간,23,6,"경기도 수원시 장안구 천천로22번길 34 관리동(정자동,삼환나우빌아파트)",031-269-0264,,,,1,Y,http://www.,2018-07-31
자연어린이집,경기도,수원시,가정,20,5,"경기도 수원시 장안구 천천로74번길 92 825동 101호(정자동, 대림진흥아파트)",031-308-9977,,,,1,N,http://www.,2018-07-31
은샘몬테소리어린이집,경기도,수원시,민간,71,11,경기도 수원시 권선구 매실로 70 GS아파트 관리동 1층 (호매실동),031-296-2266,,,,1,Y,http://www.,2018-07-31
이레어린이집,경기도,수원시,민간,54,9,경기도 수원시 권선구 당진로22번길 20 (당수동),031-419-9091,,,,1,Y,http://www.,2018-07-31
자이빅스맘어린이집,경기도,수원시,민간,62,7,"경기도 수원시 권선구 입북로 50 생활지원센터 (입북동, 서수원자이아파트)",031-278-3682,,,,1,N,http://www.,2018-07-31
자이세상어린이집,경기도,수원시,가정,20,6,"경기도 수원시 권선구 권광로 55 112동 103호(권선동, LG자이e편한세상)",031-226-7896,,,,1,N,http://www.,2018-07-31
자이큰사랑어린이집,경기도,수원시,가정,20,3,"경기도 수원시 권선구 입북로 50 115동 102호(입북동, 서수원자이아파트)",031-278-1808,,,,1,N,http://www.,2018-07-31
작은나무어린이집,경기도,수원시,민간,27,9,경기도 수원시 권선구 탑동로29번길 13 (탑동),070-8200-3089,,,,1,Y,http://www.,2018-07-31
잼잼어린이집,경기도,수원시,가정,20,6,"경기도 수원시 권선구 금곡로31번길 7 101동101호(금곡동,엘지빌리지)",031-227-0305,,,,1,Y,http://www.,2018-07-31
정원어린이집,경기도,수원시,가정,20,7,"경기도 수원시 권선구 세권로 1 304동 101호 (세류동, LH수원센트럴타운3단지)",031-890-1395,,,,1,N,http://www.,2018-07-31
조은아이어린이집,경기도,수원시,민간,96,12,경기도 수원시 권선구 탑동로36번길 24-6 (탑동),031-293-1179,,,,1,Y,http://www.,2018-07-31
우리어린이집,경기도,수원시,가정,12,3,"경기도 수원시 장안구 하률로46번길 22 209동 102호(천천동, 삼호진덕아파트)",031-271-0240,,,,1,N,http://www.,2018-07-31
이솝어린이집,경기도,수원시,가정,20,7,"경기도 수원시 영통구 효원로 363 103동 102호 (매탄동, 매탄위브하늘채아파트)",031-214-0966,,,,1,N,http://www.,2018-07-31
이의자이사임당어린이집,경기도,수원시,가정,20,7,"경기도 수원시 영통구 도청로17번길 23 5301동 103호 (이의동, 자연앤자이)",031-213-7942,,,,1,N,http://www.,2018-07-31
자연숲어린이집,경기도,수원시,민간,30,8,경기도 수원시 영통구 봉영로1517번길 73 삼성태영아파트 관리동 1층,031-204-0334,,,,1,N,http://www.,2018-07-31
조은어린이집,경기도,수원시,가정,19,4,"경기도 수원시 권선구 여기산로 19 4동 108호(구운동, 선경아파트)",031-298-2979,,,,1,Y,http://www.,2018-07-31
주사랑어린이집,경기도,수원시,민간,39,9,경기도 수원시 권선구 경수대로293번길 12 (세류동),031-238-5201,,,,1,Y,http://www.,2018-07-31
중앙어린이집,경기도,수원시,가정,20,6,"경기도 수원시 권선구 서둔로 270-6 201동 101호(서둔동, 울트라참누리파크아파트)",031-298-6682,,,,1,N,http://www.,2018-07-31
즐거운어린이집,경기도,수원시,가정,17,5,"경기도 수원시 권선구 호매실로166번길 63 1910동 104호(호매실동, 능실마을19단지)",031-292-0664,,,1,1,N,http://www.,2018-07-31
지혜숲어린이집,경기도,수원시,가정,19,5,"경기도 수원시 권선구 효탑로 50 105동 102호(탑동, 우방아파트)",031-292-9609,,,1,1,Y,http://www.,2018-07-31
참사랑호크마어린이집,경기도,수원시,민간,47,9,경기도 수원시 권선구 칠보로183번길 41 (호매실동),031-296-4112,,,,1,Y,http://www.,2018-07-31
